,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
468,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Jowar,4.0,3.0
469,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Maize,7.0,32.0
471,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Onion,2.0,38.0
472,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Ragi,2.0,4.0
473,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Rice,30.0,95.0
474,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Sunflower,19.0,10.0
475,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Gram,75.0,78.0
476,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Groundnut,21.0,28.0
478,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Jowar,12.0,8.0
479,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Maize,6.0,48.0
480,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Rice,14.0,37.0
481,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Sunflower,26.0,20.0
482,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Bajra,0.743,1.011
483,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Castor seed,0.886,0.668
484,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Cotton,1.611,1.241
485,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Chillies,1.574,5.506
486,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Groundnut,853.577,75.115
488,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Jowar,1.782,2.204
489,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Maize,6.041,20.896
491,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Onion,1.376,23.531
492,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Ragi,1.46,3.678
493,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Rice,30.306,94.615
494,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Soyabean,0.182,0.248
495,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Bajra,0.026,0.035
496,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Gram,73.055,68.379
497,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Groundnut,16.879,24.897
499,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Jowar,12.501,6.951
500,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Linseed,0.014,0.005
501,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Maize,3.658,32.3
502,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Onion,0.173,4.129
503,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Ragi,0.336,0.63
504,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Rice,18.416,49.815
505,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Safflower,0.113,0.044
506,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Wheat,0.164,0.217
507,Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Banana,3.603,160.939
509,Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Sugarcane,0.131,12.305
510,Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Sunflower,42.268,26.305
512,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Bajra,1.722,3.167
513,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Castor seed,1.332,0.663
514,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Cotton,2.063,1.226
515,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Chillies,1.604,4.031
516,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Groundnut,510.874,113.925
518,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Jowar,41.409,25.881
519,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Maize,8.852,43.924
521,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Onion,1.663,29.811
522,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Ragi,2.42,3.78
523,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Rice,32.226,101.512
524,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Soyabean,0.024,0.02
525,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Urad,0.03,0.009
526,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Bajra,0.045,0.083
527,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Gram,92.936,107.248
528,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Groundnut,19.507,28.051
530,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Jowar,17.721,14.283
531,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Maize,4.615,33.736
533,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Onion,0.23,5.665
534,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Ragi,1.122,2.458
535,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Rice,19.428,46.899
536,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Safflower,0.046,0.02
537,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Urad,0.017,0.013
538,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Wheat,0.179,0.097
539,Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Banana,5.01,265.981
541,Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Sugarcane,0.112,9.968
542,Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Sunflower,55.286,33.503
543,Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Sweet potato,0.013,0.077
544,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Bajra,2.01,1.465
545,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Castor seed,4.328,3.795
546,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Cotton,4.338,2.977
547,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Chillies,1.968,7.307
548,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Groundnut,814.077,446.928
550,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Jowar,2.606,2.069
551,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Maize,10.726,51.174
552,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Mesta,0.032,0.286
554,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Onion,1.62,26.924
555,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Ragi,1.876,3.343
556,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Rice,34.973,102.007
557,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Soyabean,1.682,2.866
558,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Urad,0.014,0.006
559,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Bajra,0.005,0.004
560,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Gram,94.24,73.601
561,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Groundnut,19.993,34.068
563,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Jowar,13.274,8.296
564,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Maize,4.75,43.306
566,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Onion,0.306,8.233
567,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Ragi,0.556,0.831
568,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Rice,24.828,69.394
569,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Safflower,0.045,0.031
570,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Urad,0.559,0.299
571,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Wheat,0.131,0.171
572,Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Banana,4.416,223.825
574,Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Potato,0.021,0.236
575,Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Sugarcane,0.235,20.981
576,Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Sunflower,17.615,14.072
577,Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Sweet potato,0.004,0.051
579,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Bajra,2.614,3.307
580,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Castor seed,30.203,1.843
581,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Cotton,19.299,12.069
582,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Cowpea,0.846,0.15
583,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Chillies,4.101,10.425
584,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Groundnut,733.96,174.682
586,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Jowar,7.19,7.535
587,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Maize,25.447,63.465
588,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Mesta,0.015,0.117
590,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Onion,2.757,39.563
591,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Ragi,1.574,2.679
592,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Rice,37.72,94.531
593,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Soyabean,1.656,2.676
594,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Urad,0.032,0.017
595,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Bajra,0.116,0.147
596,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Cowpea,0.015,0.012
597,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Chillies,0.064,0.083
598,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Gram,68.483,38.008
599,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Groundnut,19.876,32.696
601,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Jowar,7.907,3.882
602,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Maize,6.208,48.168
604,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Onion,0.208,4.259
605,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Ragi,1.695,3.421
606,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Rice,10.948,25.542
607,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Safflower,0.084,0.063
608,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Urad,0.446,0.313
609,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Wheat,0.075,0.1
610,Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Banana,8.0,505.176
612,Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Potato,0.018,0.181
613,Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sugarcane,0.41,39.186
614,Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sunflower,13.277,12.094
615,Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sweet potato,0.002,0.026
617,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Bajra,2.176,1.456
