Crop_Year,State_Name,District_Name,Season,Crop,Area,Production
1997,Andhra Pradesh,ANANTAPUR,Kharif,Sugarcane,0.7,72.9
1997,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,35.9,11.1
1997,Andhra Pradesh,ANANTAPUR,Rabi,Chillies,0.1,0.1
1997,Andhra Pradesh,ANANTAPUR,Rabi,Gram,28.0,14.8
1997,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,20.2,21.7
1997,Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,0.6,0.2
1997,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,18.8,9.4
1997,Andhra Pradesh,ANANTAPUR,Rabi,Maize,0.6,2.4
1997,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,0.6,1.0
1997,Andhra Pradesh,ANANTAPUR,Rabi,Rice,18.0,37.3
1997,Andhra Pradesh,ANANTAPUR,Rabi,Sunflower,30.1,11.1
1997,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,0.3,0.2
1998,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,2.6,1.9
1998,Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,3.2,1.0
1998,Andhra Pradesh,ANANTAPUR,Kharif,Cotton,14.0,12.9
1998,Andhra Pradesh,ANANTAPUR,Kharif,Chillies,4.0,10.0
1998,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,755.2,867.8
1998,Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,2.3,0.9
1998,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,3.7,5.8
1998,Andhra Pradesh,ANANTAPUR,Kharif,Maize,3.3,6.7
1998,Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),2.1,1.3
1998,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,7.0,14.9
1998,Andhra Pradesh,ANANTAPUR,Kharif,Rice,38.3,96.8
1998,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,21.3,12.2
1998,Andhra Pradesh,ANANTAPUR,Rabi,Chillies,0.2,0.2
1998,Andhra Pradesh,ANANTAPUR,Rabi,Gram,26.2,25.9
1998,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,25.9,35.8
1998,Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,0.7,0.5
